first,last,birth,N
A,F,1994,3
A,F,1995,2
A,F,1996,3
A,F,1997,5
A,F,1998,3
A,F,1999,5
A,F,2000,7
A,F,2001,3
A,F,2002,10
A,F,2003,2
A,F,2004,6
A,F,2005,10
A,F,2006,0
A,F,2007,5
A,F,2008,2
A,F,2009,1
A,F,2010,2
A,F,2011,0
A,G,1800,0
A,G,1801,0
A,G,1802,0
A,G,1803,0
A,G,1804,0
A,G,1805,0
A,G,1806,0
A,G,1807,0
A,G,1808,0
A,G,1809,0
A,G,1810,0
A,G,1811,0
A,G,1812,0
A,G,1813,0
A,G,1814,0
A,G,1815,0
A,G,1816,0
A,G,1817,0
A,G,1818,0
A,G,1819,0
A,G,1820,0
A,G,1821,0
A,G,1822,0
A,G,1823,0
A,G,1824,0
A,G,1825,0
A,G,1826,0
A,G,1827,0
A,G,1828,0
A,G,1829,0
A,G,1830,0
A,G,1831,0
A,G,1832,0
A,G,1833,0
A,G,1834,0
A,G,1835,0
A,G,1836,0
A,G,1837,0
A,G,1838,0
A,G,1839,0
A,G,1840,0
A,G,1841,0
A,G,1842,0
A,G,1843,0
A,G,1844,0
A,G,1845,1
A,G,1846,0
A,G,1847,0
A,G,1848,0
A,G,1849,0
A,G,1850,0
A,G,1851,0
A,G,1852,0
A,G,1853,0
A,G,1854,0
A,G,1855,0
A,G,1856,0
A,G,1857,0
A,G,1858,0
A,G,1859,0
A,G,1860,0
A,G,1861,1
A,G,1862,1
A,G,1863,2
A,G,1864,1
A,G,1865,1
A,G,1866,3
A,G,1867,4
A,G,1868,11
A,G,1869,6
A,G,1870,22
A,G,1871,35
A,G,1872,54
A,G,1873,58
A,G,1874,86
A,G,1875,118
A,G,1876,167
A,G,1877,200
A,G,1878,212
A,G,1879,259
A,G,1880,363
A,G,1881,381
A,G,1882,465
A,G,1883,486
A,G,1884,656
A,G,1885,750
A,G,1886,814
A,G,1887,823
A,G,1888,1005
A,G,1889,1122
A,G,1890,1115
A,G,1891,1281
A,G,1892,1436
A,G,1893,1526
A,G,1894,1489
A,G,1895,1587
A,G,1896,1648
A,G,1897,1737
A,G,1898,1789
A,G,1899,1736
A,G,1900,1944
A,G,1901,1909
A,G,1902,2102
A,G,1903,2143
A,G,1904,2315
A,G,1905,2348
A,G,1906,2310
A,G,1907,2367
A,G,1908,2512
A,G,1909,2497
A,G,1910,2563
A,G,1911,2549
A,G,1912,2649
A,G,1913,2617
A,G,1914,2609
A,G,1915,2523
A,G,1916,2580
A,G,1917,2439
A,G,1918,2501
A,G,1919,2402
A,G,1920,2491
A,G,1921,2491
A,G,1922,2315
A,G,1923,2179
A,G,1924,2251
A,G,1925,2087
A,G,1926,1925
A,G,1927,1871
A,G,1928,1685
A,G,1929,1543
A,G,1930,1424
A,G,1931,1389
A,G,1932,1169
A,G,1933,1113
A,G,1934,1078
A,G,1935,932
A,G,1936,910
A,G,1937,904
A,G,1938,850
A,G,1939,771
A,G,1940,774
A,G,1941,746
A,G,1942,726
A,G,1943,723
A,G,1944,619
A,G,1945,590
A,G,1946,605
A,G,1947,695
A,G,1948,628
A,G,1949,566
A,G,1950,577
A,G,1951,531
A,G,1952,569
A,G,1953,475
A,G,1954,474
A,G,1955,440
A,G,1956,393
A,G,1957,381
A,G,1958,340
A,G,1959,293
